grant_id,funding,sponsor,awardee,title,date,is_anticipated,department_id,capabilities_id
G00001,45000,NASA,Lance C. Sherry,Regulatory Ontology and Compliance Assessment Suite (ROCAS),2026-01-12,True,,
G00002,100000,the Virginia Innovation Partnership Authority,Kai Zeng,Secure 6G Infrastructure for Integrated Sensing and Communication,2026-01-12,True,,
G00003,100000,the Virginia Innovation Partnership Authority,Lannan Luo,AI-Powered Video and Audio Side Channels for Cyber-Physical Anomaly,2026-01-12,True,,
G00004,160000,BARD,Lizhi Wang,Creation and validation of a digital twin model for improving almond production,2026-01-12,True,,
G00005,150793,Virginia Innovation Partnership Authority,Liza Price Wilson Durant,CCI Scholars – High School Experiential Learning Program,2026-01-12,True,,
G00006,41666,DOD,Sean O. Luke,Uses of OSINT & PAI in Conjunction with AI/LLMs for Decision Support Modeling,2026-01-05,True,,
G00007,98500,the DOD,Jose Bricio Neto,Quick Look Study of U.S. Marine Corps Wargaming and Analysis Capability with Recommendations,2026-01-05,True,,
G00008,2500000,the Virginia Innovation Partnership Authority,Liza Price Wilson Durant,NoVA Node CCI FY26 Initiatives,2026-01-05,True,,
G00009,100000,the Virginia Innovation Partnership Corporation,Michael Atef Yassa Girgis,Quantitative Isotopically Labeled Tags for Precise Proteomic Analysis via Mass Spectrometry,2026-01-05,True,,
G00010,100000,the Virginia Innovation Partnership Authority,Shima Mohebbi,Scalable AI-driven Cybersecurity for Small and Medium Critical Manufacturing,2026-01-05,True,,
G00011,100000,the Virginia Innovation Partnership Authority,Babak Aslani,Scalable AI-driven Cybersecurity for Small and Medium Critical Manufacturing,2026-01-05,True,,
G00012,15000,Virginia Tech,Kai Zeng,O-RAN-Compatible Software Radio for Secure and Resilient Mid- to High-Frequency Spectrum Operation,2026-01-05,True,,
G00013,100000,the Virginia Innovation Partnership Authority,Md Tanvir Arafin,CASPER: Cyber-Analog Sensing for Protecting Critical Energy Infrastructure,2026-01-05,True,,
G00014,1500000,Virginia Energy Department of Energy,Liling Huang,Funding Virginia Research AI Data Center Lab,2026-01-05,True,,
G00015,,the NIH,Siddhartha Sikdar,Cohort 3 NIH - Blueprint MedTech (BPMT) Seedling Program,2025-12-08,False,,
G00016,93521,the U.S. Department of the Navy,Mehdi Amiri Darehbidi,Advanced Fretting Fatigue Life Prediction Method for Naval Aerospace Applications,2025-12-08,True,,
G00017,13456,the DOD,Nicholas Kent Clark,SDR Analysis for Distributed Computing,2025-12-08,True,,
G00018,75000,the NIH,Siddhartha Sikdar,Research and Training in Complementary and Alternative Medicine,2025-12-01,True,,
G00019,54381,the DOD,Nicholas Kent Clark,SCA to Support Time Series Analysis Research,2025-12-01,True,,
G00020,225878,the NIH,Abolfazl Safikhani,Statistical Machine Learning to Develop Connectome-Based Biomarkers of Alzheimer's Disease and Related Dementias,2025-12-01,True,,
G00021,24821,the U.S. Geological Survey,Celso Moller Ferreira,"Sanitation infrastructure in vulnerable communities: Current and future risks to water security flooding, resilience, septic systems",2025-12-01,True,,
G00022,296998,the DOD,Ali Khalid Raz,Integrated Photonics for sustained operations project - Phase III,2025-11-17,True,,
G00023,296998,the DOD,Marc Sasseville,Integrated Photonics for sustained operations project - Phase III,2025-11-17,True,,
G00024,234986,the FAA,Lance C. Sherry,NEXTOR III: DO 35:FAA Section 765 Regional Airport Capacity Study,2025-11-17,True,,
G00025,77500,the NSF,Elise D. Miller Hooks,Collaborative Research: NSF R2I2: Alaska Innovation Incubator for Resilient and Smart Infrastructure in Extreme and Changing Environments,2025-11-10,True,,
G00026,77500,the NSF,Emma Zhang,Collaborative Research: NSF R2I2: Alaska Innovation Incubator for Resilient and Smart Infrastructure in Extreme and Changing Environments,2025-11-10,True,,
G00027,77500,the NSF,Celso Moller Ferreira,Collaborative Research: NSF R2I2: Alaska Innovation Incubator for Resilient and Smart Infrastructure in Extreme and Changing Environments,2025-11-10,True,,
G00028,230000,the U.S. Department of Energy,Maryam Parsa,"GAINS: Generalizable, Analog, Izhikevich-Based Neuromorphic Spintronics for Next-Generation Computing",2025-11-03,True,,
G00029,230000,the U.S. Department of Energy,Giorgio Ascoli,"GAINS: Generalizable, Analog, Izhikevich-Based Neuromorphic Spintronics for Next-Generation Computing",2025-11-03,True,,
G00030,43000,the U.S. Department of the Navy,Bob Elder,DAPSE 2.0 Integration into CCMD Joint Planning Processes (JPP),2025-11-03,True,,
G00031,83542,the Virginia Transportation Research Council,Burak Tanyu,Collection of Instrumentation Data From the CHCC Base Course Field Project at VDOT’s Harrisonburg Residency,2025-11-03,True,,
G00032,85360,the NIH,Susannah Engdahl,Towards Human-Centered Rehabilitation: A Focus on Embodiment and User Perception of Upper Limb Prostheses,2025-10-27,True,,
G00033,274001,the NSF,Elise D. Miller,Collaborative Research: A Risk-based Real-Options Approach for Infrastructure Systems Protection Investment,2025-10-27,True,,
G00034,77000,Naval Sea Systems Command,Marcos Zampieri,BRIDGE: Bridging Redundant Information for Data Governance and Efficiency,2025-10-27,True,,
G00035,9500,the GMUF,Pei Dong,Advanced Heat Transfer Fluids for Modern Engines and E-Vehicles Cooling System,2025-10-13,True,,
G00036,2543,the National Science Foundation,Bo Han,Conference: NSF Workshop on Networking and Systems Challenges in Immersive Computing,2025-10-13,True,,
G00037,275000,the NSF,Md Tanvir Arafin,Collaborative Research: CISE Crosscutting Small: SaTC: SAGE: Secure Accelerators for Next-Generation Foundation Models,2025-10-06,True,,
G00038,500000,the NSF,Elise D. Miller,Transforming Urban Underground Infrastructure,2025-10-06,True,,
G00039,430000,the NSF,Aditya Johri,Developing Artificial Intelligence Literacy Among Undergraduate Engineering and Technology Students Through Case-Based Instruction,2025-10-06,True,,
G00040,1020000,the Air Force Research Laboratory,Brett William Josephson,AFCENT CEC Applied Research,2025-10-06,True,,
G00041,1020000,the Air Force Research Laboratory,Cameron Nowzari,AFCENT CEC Applied Research,2025-10-06,True,,
G00042,1020000,the Air Force Research Laboratory,Ali Khalid Raz,AFCENT CEC Applied Research,2025-10-06,True,,
G00043,1020000,the Air Force Research Laboratory,Daigo Shishika,AFCENT CEC Applied Research,2025-10-06,True,,
G00044,1020000,the Air Force Research Laboratory,Shima Mohebbi,AFCENT CEC Applied Research,2025-10-06,True,,
G00045,55000,The Bernd Group,Ali Khalid Raz,MARAAI: Mission Assurance Reference Architecture for Autonomy Integration Command and Control Systems,2025-10-06,True,,
G00046,380000,the NSF,Weiwen Jiang,Collaborative Research: Elements: QuAIM: A Quantum Cyberinfrastructure with Automated Implementation Toolkits for Scientific Discovery,2025-10-02,True,,
G00047,380000,the NSF,Lei Yang,Collaborative Research: Elements: QuAIM: A Quantum Cyberinfrastructure with Automated Implementation Toolkits for Scientific Discovery,2025-10-02,True,,
G00048,544335,NOAA,Celso Moller Ferreira,Developing Arctic Coastal Protection Solutions with Alaska Native Communities,2025-10-02,True,,
G00049,250000,the National Science Foundation (NSF),Weiwen Jiang,,2025-10-02,True,,
G00050,4649740,the National Institutes of Health (NIH),Siddhartha Sikdar,Network modeling as a unified framework to understand inter-individual differences in chronic musculoskeletal pain,2025-10-02,True,,
G00051,1250000,the NSF,Hemant Purohit,SCC-IRG: Resilient Sheltering Decision Support for Emergency Evacuations using Explainable AI,2025-10-02,True,,
G00052,934614,the NSF,Ethan Chiyui Ahn,Pivots: Reshaping Education in Nanofabrication for the Northern Virginia Ecosystem and Workforce (RENEW),2025-10-02,True,,
G00053,934614,the NSF,Nathalia L. Peixoto,Pivots: Reshaping Education in Nanofabrication for the Northern Virginia Ecosystem and Workforce (RENEW),2025-10-02,True,,
G00054,934614,the NSF,Jessica L. Rosenberg,Pivots: Reshaping Education in Nanofabrication for the Northern Virginia Ecosystem and Workforce (RENEW),2025-10-02,True,,
G00055,934614,the NSF,Jill K. Nelson,Pivots: Reshaping Education in Nanofabrication for the Northern Virginia Ecosystem and Workforce (RENEW),2025-10-02,True,,
G00056,105885,ONR,Ali Beheshti,Finite Element Based Crack Initiation and Propagation Study for Gear Steel Alloy,2025-09-22,True,,
G00057,260550,the U.S. Department of Defense,Massimiliano Albanese,DoD Cyber Service Academy,2025-09-22,True,,
G00058,260550,the U.S. Department of Defense,Sushil Jajodia,DoD Cyber Service Academy,2025-09-22,True,,
G00059,502222,the NSF,Quentin Sanders,Fused Filament Fabrication of Customized Continuous Fiber Physical Activity Enabling Prostheses for Children with Lower Extremity Amputation,2025-09-15,True,,
G00060,320000,the NSF,Bo Han,POSE: Phase I: OpenCIVAN: Scoping and Planning for an Open-Source Ecosystem for Collaborative and Immersive Visualization and Analytics in a Networked Environment,2025-09-15,True,,
G00061,320000,the NSF,Songqing Chen,POSE: Phase I: OpenCIVAN: Scoping and Planning for an Open-Source Ecosystem for Collaborative and Immersive Visualization and Analytics in a Networked Environment,2025-09-15,True,,
G00062,50000,"Datalytica, LLC",Duminda Wijesekera,Operational Technology Digital Twin and Scanning Support,2025-09-15,True,,
G00063,8000,the American Society,Shima Mohebbi,Engineering Education (ASEE),2025-09-15,True,,
G00064,150000,(DARPA),Missy Cummings,Autonomy Standards and Ideals with Military Operational Values (ASIMOV),2025-09-08,True,,
G00065,200000,the NSF,Md Tanvir Arafin,Collaborative Research: CyberTraining: Implementation: Small: CyberSTAR:CyberTraining for Secure Transportation and Reliable Autonomy,2025-09-08,True,,
G00066,199910,the Northern Virginia Emergency Response System Aerial System,Shima Mohebbi,(UAS) Drone as a First Responder (DFR) Feasibility Study project,2025-09-08,True,,
G00067,199910,the Northern Virginia Emergency Response System Aerial System,Michael R. Hieb,(UAS) Drone as a First Responder (DFR) Feasibility Study project,2025-09-08,True,,
G00068,69904,the U.S. Department of the Navy,Jose Bricio Neto,Persistent Airborne Counter Unmanned Aerial System Surveillance,2025-09-02,True,,
G00069,15000,the NSF,Weiwen Jiang,Conference: The Quantum System Stability and Reproducibility Workshop,2025-08-25,True,,
G00070,15000,the NSF,Lei Yang,Conference: The Quantum System Stability and Reproducibility Workshop,2025-08-25,True,,
G00071,500000,the NSF,Ziwei Zhu,III: Small: Harnessing Interpretable Neuro-Symbolic Learning for Reliable Ranking,2025-08-25,True,,
G00072,,the U.S. Department of the Army,Maryam Parsa,"Automotive Research Center (ARC) A Center for Excellence In Modeling and Simulation of Ground Vehicles U.S. Army Ground Vice System Center, Detroit Arsenal, Michigan",2025-08-25,False,,
G00073,100000,NSF,Fei Li,Collaborative Research: Quantum Algorithms for High-Performance Analysis of Single-Cell Omics Data and Explainable Drug Discovery,2025-08-25,True,,
G00074,296927,NIH,Ningshi Yao,Study Coordinated Human Eye Movement and Strabismus using a Novel Artificial Muscle-Driven Robotic Eyes,2025-08-18,True,,
G00075,512787,the NSF,Shaghayegh Bagheri,MRI: Track #1 Acquisition of a 3D X-Ray Computer Tomography Scanner for Multidisciplinary Research and Education,2025-08-11,True,,
G00076,512787,the NSF,Ali Beheshti,MRI: Track #1 Acquisition of a 3D X-Ray Computer Tomography Scanner for Multidisciplinary Research and Education,2025-08-11,True,,
G00077,512787,the NSF,Caroline Dieckmann Hoemann,MRI: Track #1 Acquisition of a 3D X-Ray Computer Tomography Scanner for Multidisciplinary Research and Education,2025-08-11,True,,
G00078,45000,the NSF,Kun Sun,Collaborative Research: CIRC: Planning-C: An Infrastructure and Dataset for Research in Software Vulnerability Detection and Remediation,2025-08-03,True,,
G00079,94711,"Metal Improvement Company, LLC",Ali Beheshti,Tribo-Corrosion Study of Nickel-based Superalloys Subjected to Laser Peening,2025-08-03,True,,
